,localidade,municipio,estado,data_avistamento,municipio_estado
652,Cajaíba do Sul,Camamu,BA,2019-11-18,Camamu/BA
653,Praia de Regência,Linhares,ES,2019-11-18,Linhares/ES
654,Praia Pirambu,Pirambu,SE,2019-11-18,Pirambu/SE
655,Praia do Bosque,São Mateus,ES,2019-11-18,São Mateus/ES
656,Praia da Barra Nova,São Mateus,ES,2019-11-18,São Mateus/ES
657,Praia de Itacimirim,Mata De São João,BA,2019-11-18,Mata De São João/BA
658,Praia da Ponta dos Mangues,Pacatuba,SE,2019-11-18,Pacatuba/SE
659,Praia do Degredo,Linhares,ES,2019-11-18,Linhares/ES
660,Praia Cacimbas,Linhares,ES,2019-11-18,Linhares/ES
661,Praia de Povoação,Linhares,ES,2019-11-18,Linhares/ES
662,Delta Sul do Parnaíba,Parnaíba,PI,2019-11-18,Parnaíba/PI
663,Praia do Taipe (Praia do Rio da Barra),Porto Seguro,BA,2019-11-19,Porto Seguro/BA
664,Ilha do Delta do Jequitinhonha,Belmonte,BA,2019-11-19,Belmonte/BA
665,Praia de Povoação,Linhares,ES,2019-11-19,Linhares/ES
666,Peso,Canavieiras,BA,2019-11-19,Canavieiras/BA
667,Praia Pontal do Sul,Conceição Da Barra,ES,2019-11-19,Conceição Da Barra/ES
668,Praia de Iemanjá,Caravelas,BA,2019-11-19,Caravelas/BA
669,Praia de Saquaíra,Maraú,BA,2019-11-19,Maraú/BA
670,Praia da Barra Nova,São Mateus,ES,2019-11-19,São Mateus/ES
671,Praia do Rio e praia do centro,Prado,BA,2019-11-19,Prado/BA
672,Praia da Barra do Sargi,Ilhéus,BA,2019-11-19,Ilhéus/BA
673,Praia de Mamoã,Ilhéus,BA,2019-11-19,Ilhéus/BA
674,Praia de Monsarás,Linhares,ES,2019-11-19,Linhares/ES
675,Praia dos Milionários,Ilhéus,BA,2019-11-19,Ilhéus/BA
676,Praia dos Milionários,Ilhéus,BA,2019-11-19,Ilhéus/BA
677,Praia de Urussuquara,São Mateus,ES,2019-11-19,São Mateus/ES
678,Praia de Gramuté,Aracruz,ES,2019-11-19,Aracruz/ES
679,ponta do ramo,Ilhéus,BA,2019-11-19,Ilhéus/BA
680,Praia de Pecém,São Gonçalo Do Amarante,CE,2019-11-19,São Gonçalo Do Amarante/CE
